"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,Q88 Socialno varstvo brez nastanitve,5065,81249,5,17,106,16
,R90 Kulturne in razvedrilne dejavnosti,2152,43870,2,9,42,20
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",3379,44481,4,14,105,13
,R92 Prirejanje iger na sreèo,3098,42716,4,15,105,14
,R93 Športne in druge dejavnosti za prosti èas,1100,29559,2,9,33,27
,S94 Dejavnost èlanskih organizacij,1765,28231,2,8,52,16
,S95 Popravila raèunalnikov in izdelkov za široko rabo,424,10739,3,9,36,25
,S96 Druge storitvene dejavnosti,3983,103865,4,13,50,26
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),17930,742774,-,-,-,-
2009,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6426,235671,4,13,35,37
,B RUDARSTVO,2362,60674,5,19,75,26
,C PREDELOVALNE DEJAVNOSTI,183628,3613124,5,19,95,20
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",6572,104939,4,14,85,16
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",6717,138383,4,15,74,21
,F GRADBENIŠTVO,39558,957052,3,12,48,24
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",75221,1453695,3,13,65,19
,H PROMET IN SKLADIŠÈENJE,27966,585737,3,12,59,21
,I GOSTINSTVO,17524,466057,4,15,55,27
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,16689,195343,2,9,76,12
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,29508,342150,4,14,119,12
,L POSLOVANJE Z NEPREMIÈNINAMI,2099,44148,3,11,53,21
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",27253,396486,2,9,59,15
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,18754,388200,4,15,72,21
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",66493,825786,4,15,123,12
,P IZOBRAŽEVANJE,71423,893362,4,13,107,13
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,53027,886478,5,16,98,17
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",9528,154670,3,10,64,16
,S DRUGE DEJAVNOSTI,6043,136400,3,11,47,23
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,4803,193833,3,12,31,40
,A02 Gozdarstvo,1511,39573,5,17,64,26
,A03 Ribištvo in gojenje vodnih organizmov,112,2265,3,11,53,20
